Unit,ActiveBaseline_modulation_direction,PTP_class
SUBJ-ID-154_210513_concat_cluster3430,none,broad
SUBJ-ID-154_210513_concat_cluster3432,increase,narrow
SUBJ-ID-154_210513_concat_cluster3433,increase,broad
SUBJ-ID-154_210513_concat_cluster3434,increase,broad
SUBJ-ID-154_210516_concat_cluster2922,increase,broad
SUBJ-ID-154_210516_concat_cluster2942,increase,narrow
SUBJ-ID-154_210516_concat_cluster2946,increase,broad
SUBJ-ID-154_210516_concat_cluster2957,none,broad
SUBJ-ID-154_210516_concat_cluster2959,increase,broad
SUBJ-ID-154_210516_concat_cluster2961,increase,broad
SUBJ-ID-154_210516_concat_cluster3859,increase,broad
SUBJ-ID-154_210516_concat_cluster3860,decrease,narrow
SUBJ-ID-154_210516_concat_cluster3861,decrease,broad
SUBJ-ID-154_210516_concat_cluster3863,none,broad
SUBJ-ID-154_210516_concat_cluster3872,increase,broad
SUBJ-ID-154_210516_concat_cluster3873,decrease,broad
SUBJ-ID-154_210516_concat_cluster3881,increase,broad
SUBJ-ID-154_210516_concat_cluster3882,decrease,broad
SUBJ-ID-154_210516_concat_cluster3883,decrease,broad
SUBJ-ID-154_210516_concat_cluster3885,none,broad
SUBJ-ID-154_210516_concat_cluster3886,increase,broad
SUBJ-ID-154_210516_concat_cluster4749,increase,broad
SUBJ-ID-154_210516_concat_cluster4769,increase,broad
SUBJ-ID-154_210516_concat_cluster4770,increase,narrow
SUBJ-ID-154_210516_concat_cluster5224,none,broad
SUBJ-ID-154_210516_concat_cluster5226,decrease,broad
SUBJ-ID-154_210516_concat_cluster5250,increase,broad
SUBJ-ID-154_210516_concat_cluster5299,none,broad
SUBJ-ID-154_210516_concat_cluster5300,none,broad
SUBJ-ID-154_210516_concat_cluster5326,none,broad
SUBJ-ID-154_210516_concat_cluster5328,increase,broad
SUBJ-ID-154_210519_concat_cluster1513,none,narrow
SUBJ-ID-154_210519_concat_cluster1818,decrease,broad
SUBJ-ID-154_210519_concat_cluster1852,decrease,broad
SUBJ-ID-154_210519_concat_cluster1853,increase,broad
SUBJ-ID-154_210519_concat_cluster1854,decrease,broad
SUBJ-ID-154_210519_concat_cluster1855,increase,broad
SUBJ-ID-154_210519_concat_cluster1858,increase,broad
SUBJ-ID-154_210519_concat_cluster1869,decrease,broad
SUBJ-ID-154_210519_concat_cluster1944,none,broad
SUBJ-ID-154_210519_concat_cluster1956,increase,broad
SUBJ-ID-154_210519_concat_cluster2306,decrease,broad
SUBJ-ID-154_210519_concat_cluster2309,increase,broad
SUBJ-ID-154_210519_concat_cluster2311,none,broad
SUBJ-ID-154_210519_concat_cluster2348,increase,broad
SUBJ-ID-231_210704_concat_cluster2267,increase,narrow
SUBJ-ID-231_210704_concat_cluster2657,decrease,broad
SUBJ-ID-231_210704_concat_cluster2667,none,broad
SUBJ-ID-231_210704_concat_cluster3046,decrease,broad
SUBJ-ID-231_210704_concat_cluster3560,decrease,broad
SUBJ-ID-231_210704_concat_cluster4011,increase,broad
SUBJ-ID-231_210704_concat_cluster4013,increase,broad
SUBJ-ID-231_210704_concat_cluster4083,decrease,broad
SUBJ-ID-231_210704_concat_cluster4162,increase,broad
SUBJ-ID-231_210704_concat_cluster4163,decrease,broad
SUBJ-ID-231_210704_concat_cluster4247,increase,broad
SUBJ-ID-231_210704_concat_cluster4276,increase,broad
SUBJ-ID-231_210704_concat_cluster4286,increase,broad
SUBJ-ID-231_210705_concat_cluster1036,none,broad
SUBJ-ID-231_210705_concat_cluster1263,decrease,broad
SUBJ-ID-231_210705_concat_cluster1265,increase,broad
SUBJ-ID-231_210705_concat_cluster1330,none,broad
SUBJ-ID-231_210705_concat_cluster1331,decrease,broad
SUBJ-ID-231_210705_concat_cluster1337,decrease,broad
SUBJ-ID-231_210705_concat_cluster1352,increase,broad
SUBJ-ID-231_210705_concat_cluster1385,increase,broad
SUBJ-ID-231_210705_concat_cluster1435,increase,broad
SUBJ-ID-231_210705_concat_cluster1439,increase,broad
SUBJ-ID-231_210705_concat_cluster1442,increase,broad
SUBJ-ID-231_210705_concat_cluster1539,increase,broad
SUBJ-ID-231_210705_concat_cluster1545,increase,broad
SUBJ-ID-231_210705_concat_cluster1552,increase,narrow
SUBJ-ID-231_210707_concat_cluster1889,increase,narrow
SUBJ-ID-231_210707_concat_cluster2275,none,broad
SUBJ-ID-231_210707_concat_cluster2655,decrease,broad
SUBJ-ID-231_210707_concat_cluster2656,increase,broad
SUBJ-ID-231_210707_concat_cluster2657,increase,broad
SUBJ-ID-231_210707_concat_cluster2848,decrease,broad
SUBJ-ID-231_210707_concat_cluster2852,increase,narrow
SUBJ-ID-231_210707_concat_cluster2854,increase,broad
SUBJ-ID-231_210707_concat_cluster2904,increase,narrow
SUBJ-ID-231_210707_concat_cluster2960,increase,broad
SUBJ-ID-231_210707_concat_cluster2983,none,broad
SUBJ-ID-231_210707_concat_cluster2984,increase,broad
SUBJ-ID-231_210707_concat_cluster3422,increase,broad
SUBJ-ID-231_210707_concat_cluster3426,none,broad
SUBJ-ID-231_210709_concat_cluster2699,increase,narrow
SUBJ-ID-231_210709_concat_cluster3395,increase,broad
SUBJ-ID-231_210709_concat_cluster3402,none,broad
SUBJ-ID-231_210709_concat_cluster3403,none,broad
SUBJ-ID-231_210709_concat_cluster3859,increase,narrow
SUBJ-ID-231_210709_concat_cluster5020,none,broad
SUBJ-ID-231_210709_concat_cluster5058,decrease,broad
SUBJ-ID-231_210709_concat_cluster5434,decrease,broad
SUBJ-ID-231_210709_concat_cluster5438,none,broad
SUBJ-ID-231_210709_concat_cluster5441,decrease,broad
SUBJ-ID-231_210709_concat_cluster5491,decrease,broad
